epoch,acc,loss,val_acc,val_loss
0,0.303575,1.970687363433838,0.3553,1.8115221015930176
1,0.401175,1.684108699798584,0.4218,1.6094206420898438
2,0.434375,1.5723118587493896,0.4581,1.5247549053192138
3,0.462525,1.498898196029663,0.468,1.4856827087402344
4,0.483875,1.4451882360458375,0.4976,1.4119881507873535
5,0.499275,1.3999045852661134,0.4988,1.3931153953552247
6,0.51295,1.361156921005249,0.5126,1.3739342521667481
7,0.53025,1.3254578300476074,0.5314,1.3354122592926025
8,0.541925,1.2973973114013673,0.5397,1.3127937713623048
9,0.5509,1.2707224077224732,0.5508,1.282176262664795
10,0.5653,1.2426716821670531,0.5434,1.2866145416259767
11,0.5709,1.218601263809204,0.568,1.2496389549255371
12,0.5815,1.1952780673980712,0.5854,1.2006426330566407
13,0.5867,1.1747772951126099,0.5765,1.2177339181900024
14,0.5936,1.1547675031661988,0.5984,1.1681311416625977
15,0.604075,1.1341687969207763,0.5912,1.1795706901550294
16,0.6101,1.1154768949508667,0.5953,1.1552935159683229
17,0.6181,1.0972658803939819,0.5972,1.1615397289276124
18,0.622925,1.0817085927963257,0.613,1.1225668201446533
19,0.628875,1.0643001852989198,0.6104,1.1334840539932252
20,0.6353,1.0463071252822875,0.6091,1.1386312856674194
21,0.64115,1.0314513360977173,0.6364,1.0589088806152345
22,0.647325,1.0184082216262818,0.636,1.0620229822158813
23,0.65145,1.0035631113052368,0.6309,1.067531841468811
24,0.654525,0.9904934160232544,0.6303,1.0713040727615357
25,0.663175,0.9758370759963989,0.602,1.1339290281295777
26,0.66835,0.9626635999679566,0.6361,1.0500322029113769
27,0.6695,0.9522937454223633,0.6451,1.0262599460601807
28,0.675075,0.9399209661483765,0.6347,1.0436491355895996
29,0.68035,0.9268584804534912,0.6464,1.0142526538848877
30,0.681775,0.9171015977859497,0.6547,1.0091603197097778
31,0.686425,0.904072409439087,0.6275,1.079086547088623
32,0.69125,0.8930837047576904,0.6618,0.9787259286880493
33,0.69535,0.8847724208831788,0.6612,0.9719736053466796
34,0.6986,0.8738160982131958,0.6272,1.079275375366211
35,0.7024,0.8625609351158142,0.6623,0.9779675874710083
36,0.7055,0.8524620887756348,0.665,0.9730154674530029
37,0.7085,0.8434098477363586,0.6531,0.9935205005645752
38,0.713775,0.8332219966888428,0.6734,0.9389961433410644
39,0.715925,0.8264897819519043,0.6769,0.9310446689605713
40,0.7191,0.8151306499481201,0.6682,0.9625239269256591
41,0.7237,0.8084406373023987,0.6694,0.9646148864746094
42,0.72535,0.7978131284713745,0.6617,0.9777188755035401
43,0.73105,0.7878429815292358,0.6717,0.9611751760482788
44,0.729025,0.7803460105895996,0.6452,1.0303338455200195
45,0.734575,0.7748616067886352,0.6845,0.9313259307861328
46,0.7372,0.7616309331893921,0.6795,0.9301933040618896
47,0.740725,0.7550250108718872,0.6853,0.9276255945205688
48,0.744525,0.7487183574676514,0.6869,0.9166917179107666
49,0.74675,0.7390878616333008,0.6825,0.9390551864624024
50,0.75105,0.7322476775169372,0.6787,0.9356504100799561
51,0.751075,0.7255013782501221,0.6813,0.9477190036773682
52,0.753975,0.7170109510421753,0.6739,0.951170164680481
53,0.755925,0.7094490257263184,0.6862,0.923586434173584
54,0.7599,0.7013844717979432,0.6759,0.9568965286254882
55,0.7623,0.6945365609169006,0.6866,0.921012391090393
56,0.764875,0.6872052268028259,0.6907,0.9054148513793945
57,0.7679,0.6799659505844117,0.6872,0.9234714080810547
58,0.7705,0.6704755981445313,0.6803,0.9482135305404663
59,0.772325,0.6632359504699707,0.7009,0.8869170337677001
60,0.772675,0.6596636738777161,0.6885,0.9212883874893188
61,0.7778,0.6505783518791198,0.683,0.9468576915740967
62,0.778725,0.6436571949958801,0.6735,0.9651624515533447
63,0.782675,0.6369595983505248,0.703,0.890086379814148
64,0.78345,0.6305508899688721,0.7043,0.878024656677246
65,0.78605,0.624614147567749,0.6943,0.9064527177810668
66,0.788575,0.6160063851356506,0.7042,0.873845414352417
67,0.790475,0.6090744921684265,0.698,0.909819868850708
68,0.791825,0.603733040523529,0.6992,0.9091546211242676
69,0.7954,0.5969046385765076,0.7083,0.8771374019622803
70,0.79755,0.5893133709907532,0.6719,0.9877460433959961
71,0.799625,0.5840416674613953,0.7117,0.868390767288208
72,0.802875,0.574552615070343,0.692,0.9332666746139526
73,0.8052,0.5689306021690369,0.6956,0.914634619140625
74,0.808925,0.5615919619560241,0.685,0.9756802856445312
75,0.808925,0.5577634613037109,0.7004,0.9116269254684448
76,0.812375,0.54954360871315,0.704,0.9084550514221191
77,0.812575,0.5424129400253296,0.709,0.9015447469711304
78,0.815975,0.5391933373451233,0.7052,0.904377925491333
79,0.818075,0.5317455429077148,0.6913,0.9390831489562989
80,0.822075,0.5236199693679809,0.6889,0.9674707775115967
81,0.82215,0.5184085197925568,0.7006,0.9199712799072266
82,0.825675,0.5101651406288147,0.7026,0.9217155084609986
83,0.8285,0.5050307673454285,0.6805,0.9992192543029785
84,0.831775,0.4992597815990448,0.7073,0.9090607593536377
85,0.831975,0.49525503520965575,0.7033,0.9165958745956421
86,0.835175,0.48751207919120787,0.7054,0.9178151390075684
87,0.8367,0.47942336654663087,0.692,0.9808054738998413
88,0.838725,0.47627365398406984,0.7069,0.9132343276023864
89,0.840575,0.46901748328208925,0.7068,0.923911498260498
90,0.84495,0.46118155689239504,0.7089,0.9224494766235352
91,0.8451,0.4572327373504639,0.7018,0.9662380517959595
92,0.847275,0.45250731415748596,0.7013,0.9511225643157959
93,0.8515,0.44273959202766416,0.6988,0.9479351081848144
94,0.85125,0.43922576031684873,0.6994,0.9729555274963378
95,0.85375,0.43480780954360965,0.7013,0.9617763675689698
96,0.857425,0.42745012645721436,0.6916,0.984030747795105
97,0.858525,0.4207900716781616,0.6957,0.9941601450920104
98,0.8589,0.4168294852256775,0.7097,0.9453646768569947
99,0.8639,0.410820329618454,0.6942,1.0091245519638061
