epoch,acc,loss,val_acc,val_loss
0,0.8433727810650887,0.5517753184617624,0.7407407407407407,0.5727003892262776
1,0.8520414201183432,0.43810300978683153,0.7407407407407407,0.5899371306101481
2,0.8520118343195267,0.42105298318101103,0.7407407407407407,0.6053905910915799
3,0.8520710059171598,0.4192841445306349,0.7407407407407407,0.6123388564145124
4,0.8520414201183432,0.41915318536335194,0.7407407407407407,0.6131912721527948
5,0.8520710059171598,0.4191974431946433,0.7407407407407407,0.6135549810197618
6,0.8520710059171598,0.4192663796131427,0.7407407407407407,0.6129674408170912
7,0.920414201183432,0.2718921212367052,0.86759259260639,0.41356158720122443
8,0.9781065088757397,0.129768480720252,0.8657407407545381,0.42569571347148333
9,0.981715976331361,0.09449290505175055,0.8793981481619455,0.4110837114078027
10,0.9823372781065088,0.08176683345930816,0.8803240740878715,0.4295770440940504
11,0.9872485207100592,0.060961123416586036,0.8793981481619455,0.4417587548494339
12,0.989378698224852,0.04950713655079258,0.8562500000275948,0.4894327086706956
13,0.9898224852071006,0.045896419227652294,0.8831018518656493,0.4719968165788386
14,0.9934615384615385,0.03401579794534565,0.8768518518656492,0.5060399464435048
15,0.9931656804733728,0.03174210976919479,0.8819444444444444,0.4962084223550779
16,0.9939349112426036,0.0268412401679264,0.8708333333471308,0.5686406378116873
17,0.9949112426035503,0.023307284312708492,0.9009259258707364,0.4065993685827211
18,0.9955917159763313,0.02067695118597097,0.8895833333609281,0.5200392090198066
19,0.9953254437869823,0.01998739804356144,0.8770833333471307,0.5941157721396949
20,0.9964497041420118,0.016525440111139118,0.8726851851851852,0.6558096287565098
21,0.9962721893491124,0.015179564372785169,0.8812500000137974,0.6075206069758645
22,0.9960355029585799,0.015934411730705457,0.9891203703703704,0.04503856471705216
23,0.9968639053254438,0.013543506073352148,0.8606481481481482,0.7477560940853976
24,0.9964201183431952,0.014691449983276912,0.8793981481550468,0.6370492798897127
25,0.9975147928994083,0.010163971812894138,0.8805555555555555,0.6562037928098882
26,0.9972485207100592,0.009988877326801154,0.8393518518656492,0.7557507685903045
27,0.99698224852071,0.011024472123155228,0.88009259260639,0.6324872199997857
28,0.9974260355029586,0.009275045344363568,0.8817129629698617,0.6370521696629348
29,0.9976331360946745,0.007988649744253892,0.8932870370094423,0.48526132682821266
30,0.9968639053254438,0.010549125992885884,0.8490740741016688,0.723454856555219
31,0.9982248520710059,0.006544567325962542,0.8692129629629629,0.8630689543482192
32,0.9974852071005917,0.008267266363065314,0.8784722222222222,0.6432901339691685
33,0.9983136094674556,0.006173814141836304,0.8782407407407408,0.6962759329368257
34,0.9984319526627219,0.00590606247664556,0.9254629629629629,0.24481696879525702
35,0.9977218934911243,0.00844821250261794,0.8847222222222222,0.6691692850224812
36,0.9982248520710059,0.006655857300815674,0.8743055555555556,0.8494682303474596
37,0.9981656804733727,0.00537518974870289,0.8662037037175011,0.8290890880756908
38,0.9983431952662722,0.00561567758424924,0.8819444444444444,0.7340778166091897
39,0.9987278106508876,0.004264857908793499,0.8761574074074074,0.8653469880102892
